level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2334	1978	-1	
2	1	1	0	0	0	314	0	1195	40	-1	
3	1	1	1	0	0	314	0	1195	40	-1	
4	1	1	1	1	0	314	0	1195	40	-1	
5	1	1	1	1	1	314	0	99	36	55.728310	^4
5	1	1	1	1	2	449	0	27	33	46.873466	'
5	1	1	1	1	3	508	0	67	33	80.374634	11
5	1	1	1	1	4	1216	0	30	20	46.449169	=
5	1	1	1	1	5	1261	0	248	40	37.393845	eg
5	1	1	1	1	6	1407	0	28	44	69.627151	~
5	1	1	1	1	7	1462	0	50	44	37.920128	~"
2	1	2	0	0	0	72	280	1432	140	-1	
3	1	2	1	0	0	72	280	1432	140	-1	
4	1	2	1	1	0	72	280	1432	140	-1	
5	1	2	1	1	1	72	290	664	130	11.477974	TARE
5	1	2	1	1	2	1276	280	228	120	62.326183	Sl
5	1	2	1	1	3	1459	275	43	167	27.827362	|
2	1	3	0	0	0	310	966	1119	122	-1	
3	1	3	1	0	0	310	966	1119	122	-1	
4	1	3	1	1	0	310	966	1119	122	-1	
5	1	3	1	1	1	310	966	213	114	91.578682	누
5	1	3	1	1	2	457	962	77	135	67.923683	늘
5	1	3	1	1	3	566	1016	14	8	60.304367	2
5	1	3	1	1	4	829	1027	61	16	34.816681	ㆍ.
5	1	3	1	1	5	1152	987	16	101	0.000000	~
5	1	3	1	1	6	1258	976	171	82	22.955482	“Sm
2	1	4	0	0	0	71	1212	1397	357	-1	
3	1	4	1	0	0	71	1212	1551	368	-1	
4	1	4	1	1	0	219	1212	1249	170	-1	
5	1	4	1	1	1	219	1264	5	4	3.322617	-
5	1	4	1	1	2	333	1247	120	122	36.649704	정
5	1	4	1	1	3	452	1254	52	95	92.694260	가
5	1	4	1	1	4	524	1212	194	157	61.171814	22.-
5	1	4	1	1	5	898	1232	280	116	53.072975	ㆍ.
5	1	4	1	1	6	1232	1262	236	120	61.053108	2.800
5	1	4	1	1	7	1573	1285	49	33	60.868530	-
4	1	4	1	2	0	71	1413	1397	156	-1	
5	1	4	1	2	1	71	1471	179	90	20.519035	5
5	1	4	1	2	2	313	1422	182	123	59.307259	정
5	1	4	1	2	3	453	1407	85	193	91.213249	가
5	1	4	1	2	4	526	1413	222	139	30.179909	32-
5	1	4	1	2	5	1156	1414	312	155	25.000374	31100
5	1	4	1	2	6	1544	1416	78	140	37.790600	.
2	1	5	0	0	0	311	1794	1118	156	-1	
3	1	5	1	0	0	311	1794	1384	156	-1	
4	1	5	1	1	0	311	1794	1118	156	-1	
5	1	5	1	1	1	311	1842	93	74	93.289764	도
5	1	5	1	1	2	431	1832	57	118	93.304665	미
5	1	5	1	1	3	524	1794	76	132	93.271149	넌
5	1	5	1	1	4	618	1820	63	96	93.301735	트
5	1	5	1	1	5	728	1796	455	134	92.635803	인더스트리
5	1	5	1	1	6	1276	1818	419	108	26.750862	Sm.
